City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
249,San Lorenzo,PY,2022-02-06 04:45:57,-25.3333,-57.5333,76.14,73,0,6.91
250,Coahuayana,MX,2022-02-06 04:45:20,18.7333,-103.6833,67.5,87,5,3.06
251,Namibe,AO,2022-02-06 04:45:58,-15.1961,12.1522,71.17,68,94,7.11
252,Cherskiy,RU,2022-02-06 04:45:58,68.75,161.3,-30.57,99,23,1.77
253,Zaraza,VE,2022-02-06 04:45:59,9.3503,-65.3245,75.2,81,57,8.57
254,Broken Hill,AU,2022-02-06 04:45:59,-31.95,141.4333,83.91,23,75,19.57
255,Savannah Bight,HN,2022-02-06 04:46:00,16.45,-85.85,78.44,68,42,5.32
256,Castro,BR,2022-02-06 04:46:00,-24.7911,-50.0119,62.64,98,98,3.8
257,Chapais,CA,2022-02-06 04:46:01,49.7834,-74.8492,-20.42,100,48,3.22
258,Jumla,NP,2022-02-06 04:46:01,29.2747,82.1838,48.74,25,0,3.87
259,Paso De Carrasco,UY,2022-02-06 04:46:02,-34.8603,-56.0522,66.25,88,100,20.71
260,Bolitoc,PH,2022-02-06 04:46:02,15.7395,119.8769,84.76,55,13,5.3
261,Calvinia,ZA,2022-02-06 04:46:03,-31.4707,19.776,76.59,34,3,4.27
262,Reconquista,AR,2022-02-06 04:46:03,-29.15,-59.65,67.42,59,10,9.33
263,Bafra,TR,2022-02-06 04:46:04,41.5678,35.9069,37.18,62,100,9.24
264,Port Augusta,AU,2022-02-06 04:46:04,-32.5,137.7667,92.71,15,91,10.27
265,Flin Flon,CA,2022-02-06 04:46:05,54.7682,-101.865,-4.25,99,100,3.24
266,Fairbanks,US,2022-02-06 04:46:06,64.8378,-147.7164,8.82,82,100,3.44
267,Kushima,JP,2022-02-06 04:46:06,31.4583,131.2333,48.24,41,63,12.8
268,Curup,ID,2022-02-06 04:46:07,-3.4667,102.5333,70.86,94,100,3.91
269,Ponta Do Sol,PT,2022-02-06 04:42:34,32.6667,-17.1,66.13,53,56,13.47
270,Svetlogorsk,BY,2022-02-06 04:46:07,52.6333,29.7333,29.91,92,97,11.63
271,Anloga,GH,2022-02-06 04:46:08,5.7947,0.8973,79.02,84,13,4.68
272,Brokopondo,SR,2022-02-06 04:46:08,4.75,-55.1667,75.24,92,100,7.76
273,Chemal,RU,2022-02-06 04:46:09,51.4111,86.005,16.77,69,4,6.78
274,Griffith,US,2022-02-06 04:46:09,41.5284,-87.4237,18.03,65,0,7.0
275,Kloulklubed,PW,2022-02-06 04:46:10,7.0419,134.2556,84.7,79,42,20.89
276,Geraldton,AU,2022-02-06 04:46:10,-28.7667,114.6,81.01,57,100,19.57
277,Kavaratti,IN,2022-02-06 04:46:11,10.5669,72.642,78.24,61,9,5.32
278,Kotelnich,RU,2022-02-06 04:46:11,58.3089,48.348,16.48,98,100,3.47
279,Krasnoselkup,RU,2022-02-06 04:46:12,65.7,82.4667,-5.8,99,93,4.76
280,Te Anau,NZ,2022-02-06 04:46:12,-45.4167,167.7167,65.25,41,0,5.48
281,Abu Dhabi,AE,2022-02-06 04:43:20,24.4667,54.3667,66.96,64,0,18.41
282,Danjiangkou,CN,2022-02-06 04:46:13,32.5428,111.5086,42.1,37,100,11.52
283,Castlerea,IE,2022-02-06 04:46:14,53.7667,-8.5,42.03,84,100,18.99
284,Bahawalnagar,PK,2022-02-06 04:44:08,30.5508,73.3908,62.19,45,21,5.3
285,Fortuna,US,2022-02-06 04:46:14,40.5982,-124.1573,44.94,95,0,8.05
286,Pankrushikha,RU,2022-02-06 04:46:15,53.8319,80.3406,13.73,83,87,7.43
287,Nouakchott,MR,2022-02-06 04:46:15,18.0858,-15.9785,64.33,52,0,10.49
288,Huanuco,PE,2022-02-06 04:46:16,-9.9329,-76.2415,63.3,94,100,2.48
289,Busca,IT,2022-02-06 04:46:16,44.5181,7.4743,43.65,82,100,3.44
290,Necochea,AR,2022-02-06 04:41:59,-38.5473,-58.7368,60.04,82,100,21.39
291,Khandagayty,RU,2022-02-06 04:46:17,50.7333,92.05,-14.71,98,100,2.57
292,Viedma,AR,2022-02-06 04:46:18,-40.8135,-62.9967,54.3,70,0,5.95
